"code CNIS";"sigle type formation";"libellé type formation";"libellé formation principal";"sigle formation";durée;"code RNCP";"niveau RNCP";"libellé niveau RNCP";tutelle;"lien site onisep.fr";domaine/sous-domaine
;BTS;"brevet de technicien supérieur";"BTS mécatronique navale";MN;"2 ans";;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7303;"mécanique/automatismes| mécanique/construction navale"
311;;"formation d'école spécialisée";"responsable logistique";;"1 an";23939;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1781;"logistique - transport/logistique"
315;;"formation d'école spécialisée";"responsable ressources humaines (EIMP)";;"1 an";16058;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3235;"gestion des entreprises, comptabilité/ressources humaines"
313;;"formation d'école spécialisée";"expert en ingénierie patrimoniale (ESGF)";;"2 ans";34238;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1834;"banque - assurances - immobilier/banque"
313;;"licence professionnelle";"licence pro mention assurance, banque, finance : chargé de clientèle";;"1 an";30181;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4918;"banque - assurances - immobilier/assurances| banque - assurances - immobilier/banque| banque - assurances - immobilier/finances| commerce, marketing, vente/marketing - vente"
310;;"diplôme d'école de commerce visé (bac + 3)";"Diplôme d'enseignement supérieur en management international (programme bachelor management international)";;"3 ans";35643;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2932;"gestion des entreprises, comptabilité/administration de l'entreprise| logistique - transport/logistique| commerce, marketing, vente/marketing - vente"
242;BTM;"brevet technique des métiers";"BTM Tapissier décorateur option couture";;"2 ans";14227;4;"niveau 4 (bac ou équivalent)";"Chambres de métiers et de l'artisanat";http://www.onisep.fr/http/redirection/formation/slug/FOR.5877;"arts, culture, artisanat/artisanat d'art"
330;"CAP agricole";"Certificat d'aptitude professionnelle agricole";"CAP agricole Services aux personnes et vente en espace rural";SAPVER;"2 ans";25085;5;"niveau 3 (niveau CAP)";"Ministère de l'Agriculture et de l'Alimentation";http://www.onisep.fr/http/redirection/formation/slug/FOR.1012;"agriculture, animaux/agriculture (généralités)| hôtellerie - restauration - tourisme/hôtellerie| commerce, marketing, vente/marketing - vente| hôtellerie - restauration - tourisme/tourisme| santé - social - sport/travail social"
310;"mastère spé.";"mastère spécialisé";"mastère spé. Manager de la chaîne logistique et achats";;"1 an";23011;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1861;"commerce, marketing, vente/achat, approvisionnement| gestion des entreprises, comptabilité/administration de l'entreprise| logistique - transport/logistique"
241;"mastère spé.";"mastère spécialisé";"mastère spé. Management de la mode et du luxe (IFM)";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1933;"arts, culture, artisanat/arts graphiques"
322;TP;"titre professionnel";"TP Infographiste metteur en page";AFI;"1 an";1267;4;"niveau 4 (bac ou équivalent)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.328;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/industries graphiques"
132;;"formation d'école spécialisée";"Master of Fine Arts in Drawing";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3268;"arts, culture, artisanat/arts appliqués| arts, culture, artisanat/arts plastiques"
242;;"formation d'école spécialisée";"Programme découverte aux cursus mode";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3609;"arts, culture, artisanat/arts graphiques"
230;;"formation d'école spécialisée";"Diplôme de scénographie costumes (ESAD Strasbourg)";;"3 ans";;0;"non inscrit au RNCP";"Ministère de la Culture et de la communication";http://www.onisep.fr/http/redirection/formation/slug/FOR.388;"arts, culture, artisanat/arts appliqués| arts, culture, artisanat/arts du spectacle"
;;"formation d'école spécialisée";"Bachelor européen Design web";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6835;"arts, culture, artisanat/arts graphiques"
323;;"formation d'école spécialisée";"Monteur audiovisuel cinéma";;"3 ans";35122;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.1211;"information-communication, audiovisuel/audiovisuel"
323;;"formation d'école spécialisée";"Directeur de la photographie - Cameraman";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3662;"information-communication, audiovisuel/audiovisuel"
323;;"formation d'école spécialisée";"Bachelor réalisation cinéma et audiovisuel";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3673;"information-communication, audiovisuel/audiovisuel"
323;;"formation d'école spécialisée";"Diplôme d'études supérieures des techniques du son (DESTS) option radio";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6231;"information-communication, audiovisuel/audiovisuel"
;;"formation d'école spécialisée";"VFX & compositing";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6743;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/audiovisuel| information-communication, audiovisuel/multimédia"
342;;"formation d'école spécialisée";"Expert en commercialisation et en diffusion d'oeuvres d'art";;"2 ans";16800;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3513;"arts, culture, artisanat/commerce de l'art"
342;;"formation d'école spécialisée";"Responsable de production de projets culturels";;"3 ans";31168;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3459;"arts, culture, artisanat/activités culturelles"
312;;"formation d'école spécialisée";"MBA marché international de l'art";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2740;"arts, culture, artisanat/commerce de l'art| commerce, marketing, vente/commerce international"
242;;"formation d'école spécialisée";"Bachelor Fashion Design and technology";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1770;"arts, culture, artisanat/arts graphiques"
242;;"formation d'école spécialisée";"Bachelor Fashion Marketing";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3573;"arts, culture, artisanat/arts graphiques| commerce, marketing, vente/marketing - vente"
233;;"formation d'école spécialisée";"Architecte d'intérieur, designer d'espace (ESAT)";;"5 ans";27793;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.567;"arts, culture, artisanat/arts appliqués| arts, culture, artisanat/arts graphiques"
;;"formation d'école spécialisée";"Styliste designer de mode";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7066;"arts, culture, artisanat/arts graphiques"
200;;"formation d'école spécialisée";Designer;;"5 ans";;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7294;"arts, culture, artisanat/arts graphiques"
241;BMA;"brevet des métiers d'art";"BMA Arts et techniques du tapis et de la tapisserie de lisse option F atelier expérimental";;"2 ans";;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5299;"arts, culture, artisanat/artisanat d'art"
;;"diplôme d'Etat en santé";"Diplôme d'Etat infirmier en pratique avancée mention pathologies chroniques stabilisées, prévention et polypathologies courantes en soins primaires";;"2 ans";31191;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6594;"santé - social - sport/paramédical"
241;;"formation d'école spécialisée";"Diplôme municipal de tapissier-lissier de la ville d'Angers";;"2 ans";;0;"non inscrit au RNCP";"Ministère de la Culture et de la communication";http://www.onisep.fr/http/redirection/formation/slug/FOR.363;"arts, culture, artisanat/artisanat d'art"
242;;"formation d'école spécialisée";"MBA Luxury Brand Management";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2335;"gestion des entreprises, comptabilité/administration de l'entreprise| matières premières, fabrication, industries/textile - habillement"
227;;"formation d'école spécialisée";"Responsable d'activités en environnement nucléaire";;"1 an";16618;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3227;"environnement - énergies - propreté/énergies| matières premières, fabrication, industries/maintenance - qualité| armée, sécurité/sécurité prévention"
342;;"formation d'école spécialisée";"MBA in Artistic and Cultural Activities Management";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4191;"arts, culture, artisanat/activités culturelles"
310;;"formation d'école spécialisée";"Master of Science in Creative and cultural industries management";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.853;"arts, culture, artisanat/activités culturelles"
;BUT;"bachelor universitaire de technologie";"BUT génie électrique et informatique industrielle";GEII;"3 ans";;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6695;"mécanique/automatismes| électricité - électronique - robotique/électronique| électricité - électronique - robotique/électrotechnique| environnement - énergies - propreté/énergies| informatique, internet/informatique industrielle et technologique| informatique, internet/systèmes et réseaux"
255;;"formation d'école spécialisée";"Technicien services de la maison connectée";;"1 an";26753;4;"niveau 4 (bac ou équivalent)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2009;"électricité - électronique - robotique/électronique"
312;CAP;"Certificat d'aptitude professionnelle";"CAP Équipier polyvalent du commerce";;"2 ans";34947;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.3165;"commerce, marketing, vente/marketing - vente"
334;BTS;"brevet de technicien supérieur";"BTS Tourisme";;"2 ans";35331;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.3545;"hôtellerie - restauration - tourisme/tourisme"
343;BTS;"brevet de technicien supérieur";"BTS Métiers des services à l'environnement";MSE;"2 ans";20692;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.2229;"environnement - énergies - propreté/déchets, pollutions et risques| environnement - énergies - propreté/environnement (généralités)| environnement - énergies - propreté/propreté"
130;;master;"master mention humanités et industries créatives";;"2 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4748;"arts, culture, artisanat/arts appliqués| arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/journalisme - édition - publicité"
;BTS;"brevet de technicien supérieur";"BTS management économique de la construction";;"2 ans";35802;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6773;"construction - architecture - travaux publics/bureau d'études BTP| construction - architecture - travaux publics/génie civil, construction (généralités)"
335;"BP JEPS";"brevet professionnel de la jeunesse, de l'éducation populaire et du sport";"BP JEPS spécialité activités sports collectifs mention rugby à XV";;"1 an";4521;4;"niveau 4 (bac ou équivalent)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6329;"santé - social - sport/sport"
240;;"formation d'école spécialisée";"manager du développement international mode et luxe";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7600;"arts, culture, artisanat/arts graphiques| commerce, marketing, vente/marketing - vente"
230;BTS;"brevet de technicien supérieur";"BTS Bâtiment";;"2 ans";1122;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.291;"construction - architecture - travaux publics/bureau d'études BTP| construction - architecture - travaux publics/génie civil, construction (généralités)"
254;CAP;"Certificat d'aptitude professionnelle";"CAP Peinture en carrosserie";;"2 ans";4933;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.725;mécanique/automobile
252;CAP;"Certificat d'aptitude professionnelle";"CAP Maintenance des matériels option A matériels agricoles";;"2 ans";29656;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5849;"mécanique/machinisme agricole| mécanique/mécanique (généralités)"
211;BTSA;"brevet de technicien supérieur agricole";"BTSA viticulture-oenologie";;"2 ans";36002;3;"niveau 5 (bac + 2)";"Ministère de l'Agriculture et de l'Alimentation";http://www.onisep.fr/http/redirection/formation/slug/FOR.7283;"matières premières, fabrication, industries/agroalimentaire| agriculture, animaux/cultures"
312;;"formation d'école spécialisée";"Manager du développement international (ESG)";;"2 ans";17999;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2840;"commerce, marketing, vente/commerce international| commerce, marketing, vente/marketing - vente"
225;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Institut supérieur des matériaux du Mans";ISMANS;"5 ans";4220;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.1176;"mécanique/aéronautique| mécanique/automobile| mécanique/construction navale| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/génie industriel| matières premières, fabrication, industries/matériaux| sciences/mathématiques| mécanique/mécanique (généralités)| sciences/physique| logistique - transport/transport"
220;;"formation d'école spécialisée";"Chargé d'études en conception de systèmes mécaniques";;"1 an";35546;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.1588;"matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/fonction production (généralités)| informatique, internet/informatique industrielle et technologique| mécanique/mécanique (généralités)"
310;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme de Excelia BS programme grande école";;"3 ans";17017;1;"niveau 7 (bac + 5)";"Chambre de commerce et d'industrie";http://www.onisep.fr/http/redirection/formation/slug/FOR.1279;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/marketing - vente"
310;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme de TBS  programme grande école";;"3 ans";29485;1;"niveau 7 (bac + 5)";"Chambre de commerce et d'industrie";http://www.onisep.fr/http/redirection/formation/slug/FOR.1291;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/marketing - vente"
222;;"formation d'école spécialisée";"Opérateur technique en pharmacie et cosmétique industrielles";OTPCI;"1 an";35753;5;"niveau 3 (niveau CAP)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.543;"sciences/chimie| santé - social - sport/santé (généralités)"
242;FCIL;"formation complémentaire d'initiative locale";"FCIL Mode et accessoires";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1659;"arts, culture, artisanat/arts graphiques"
133;DNSP;"Diplôme national supérieur professionnel";"DNSP Diplôme national supérieur professionnel de comédien spécialité comédien";DNSP;"3 ans";9034;2;"niveau 6 (bac + 3)";"Ministère de la Culture et de la communication";http://www.onisep.fr/http/redirection/formation/slug/FOR.5932;"arts, culture, artisanat/arts du spectacle"
133;DNSP;"Diplôme national supérieur professionnel";"DNSP Diplôme national supérieur professionnel de danseur";DNSP;"3 ans";9043;2;"niveau 6 (bac + 3)";"Ministère de la Culture et de la communication";http://www.onisep.fr/http/redirection/formation/slug/FOR.2735;"arts, culture, artisanat/arts du spectacle"
343;;"formation d'école spécialisée";"Hygiéniste du travail et de l'environnement";;"1 an";34945;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1778;"armée, sécurité/sécurité prévention"
311;CAP;"Certificat d'aptitude professionnelle";"CAP déménageur sur véhicule utilitaire léger";;"2 ans";31455;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.2661;"logistique - transport/logistique| logistique - transport/transport"
311;DU;"diplôme d'université";"DU responsable en logistique et transports";;"2 ans";2577;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4071;"logistique - transport/logistique| logistique - transport/transport"
313;;"licence professionnelle";"licence pro mention métiers de l'immobilier : transaction et commercialisation de biens immobiliers";;"1 an";30124;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5088;"banque - assurances - immobilier/immobilier"
117;;"formation d'école spécialisée";"Bachelor en sciences et en ingénierie - géologie et environnement (UniLaSalle Beauvais)";"UniLaSalle B";"3 ans";15620;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2979;"environnement - énergies - propreté/déchets, pollutions et risques| environnement - énergies - propreté/énergies| environnement - énergies - propreté/environnement (généralités)| construction - architecture - travaux publics/génie civil, construction (généralités)| environnement - énergies - propreté/gestion de l'eau| matières premières, fabrication, industries/mines et carrières| sciences/sciences de la Terre| armée, sécurité/sécurité prévention"
117;;"formation d'école spécialisée";"Bachelor océanographe - prospecteur";;"3 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1710;"sciences/sciences de la Terre"
221;BTS;"brevet de technicien supérieur";"BTS Biotechnologies";;"2 ans";1033;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.338;sciences/biologie
118;DU;"diplôme d'université";"DU Master of Science Biobanks and Complex Data Management";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3776;"informatique, internet/bases de données| sciences/biologie"
113;;master;"master mention biologie végétale";;"2 ans";31802;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5052;sciences/biologie
118;;master;"master mention physique du vivant";;"2 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5144;sciences/biologie
117;MSc;"master of science";"MSc Strategy and Design for the Anthropocène";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7201;"gestion des entreprises, comptabilité/administration de l'entreprise| environnement - énergies - propreté/environnement (généralités)"
116;;"formation d'école spécialisée";"Cycle international CHEM.I.ST (CHEMistry International STudies), 2e année";;"1 an";;0;"non inscrit au RNCP";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.3853;sciences/chimie
222;CAP;"Certificat d'aptitude professionnelle";"CAP Industries chimiques";;"2 ans";591;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.539;"sciences/chimie| matières premières, fabrication, industries/fabrication - productique| matières premières, fabrication, industries/fonction production (généralités)"
;BUT;"bachelor universitaire de technologie";"BUT génie chimique, génie des procédés";"GC GP";"3 ans";;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6721;"matières premières, fabrication, industries/agroalimentaire| mécanique/automatismes| sciences/biologie| matières premières, fabrication, industries/céramique, composites| sciences/chimie| environnement - énergies - propreté/déchets, pollutions et risques| matières premières, fabrication, industries/fonction production (généralités)| environnement - énergies - propreté/gestion de l'eau| matières premières, fabrication, industries/matériaux| matières premières, fabrication, industries/méthodes industrialisation| matières premières, fabrication, industries/plasturgie"
200;;"baccalauréat technologique";"bac techno STL sciences et technologies de laboratoire enseignement spécifique sciences physiques et chimiques en laboratoire";;"1 an";;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.3285;"sciences/chimie| sciences/physique"
111;;"formation d'école spécialisée";"Classe préparatoire intégrée ESCOM 2e année programme PC adapté";ESCOM;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3243;"sciences/biologie| sciences/chimie| informatique, internet/informatique (généralités)| sciences/mathématiques| sciences/physique"
314;TP;"titre professionnel";"TP comptable assistant sanitaire et social";;"1 an";15152;4;"niveau 4 (bac ou équivalent)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.4626;"gestion des entreprises, comptabilité/comptabilité| santé - social - sport/travail social"
128;;"formation d'école spécialisée";"Bachelor de Sciences-Po";;"3 ans";;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1730;"économie - droit - politique/droit (généralités)| économie - droit - politique/sciences économiques| économie - droit - politique/sciences politiques"
;;master;"master mention politiques comparées";;"2 ans";;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6928;"économie - droit - politique/sciences politiques| histoire-géographie, psychologie, sociologie/sciences sociales"
315;;"formation d'école spécialisée";"manager des ressources humaines (ECEMA)";;"2 ans";34731;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1712;"gestion des entreprises, comptabilité/ressources humaines"
310;;"formation d'école spécialisée";"assistant de dirigeant d'entreprise artisanale";;"1 an";35011;4;"niveau 4 (bac ou équivalent)";"Chambres de métiers et de l'artisanat";http://www.onisep.fr/http/redirection/formation/slug/FOR.1554;"gestion des entreprises, comptabilité/administration de l'entreprise"
324;;"formation d'école spécialisée";"assistant juridique (Vidal)";;"2 ans";21709;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1989;"gestion des entreprises, comptabilité/secrétariat"
320;;"formation d'école spécialisée";"Développeur web (CESI ESA)";;"2 ans";13595;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3998;"informatique, internet/développement - programmation -  logiciel| information-communication, audiovisuel/multimédia"
312;;"formation d'école spécialisée";"Bachelor marketing et communication";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1988;"information-communication, audiovisuel/communication| commerce, marketing, vente/marketing - vente"
324;;"formation d'école spécialisée";"assistant juridique (CCI Rouen)";;"1 an";6933;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7214;"gestion des entreprises, comptabilité/secrétariat"
313;;"formation d'école spécialisée";"manager des actifs et patrimoines immobiliers";;"2 ans";35438;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4028;"gestion des entreprises, comptabilité/administration de l'entreprise| économie - droit - politique/droit privé| banque - assurances - immobilier/immobilier| environnement - énergies - propreté/urbanisme"
315;;"formation d'école spécialisée";"manager des ressources humaines internationales";;"1 an";36064;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7551;"gestion des entreprises, comptabilité/ressources humaines"
243;BTM;"brevet technique des métiers";"BTM cordonnier";;"2 ans";35755;4;"niveau 4 (bac ou équivalent)";"Chambres de métiers et de l'artisanat";http://www.onisep.fr/http/redirection/formation/slug/FOR.4019;"matières premières, fabrication, industries/matériaux souples| matières premières, fabrication, industries/textile - habillement"
223;BTS;"brevet de technicien supérieur";"BTS Fonderie";;"2 ans";35345;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.1153;"matières premières, fabrication, industries/métallurgie sidérurgie| mécanique/travail des métaux"
223;CAP;"Certificat d'aptitude professionnelle";"CAP Art et techniques de la bijouterie-joaillerie option polissage finition";;"2 ans";31723;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.6052;"arts, culture, artisanat/artisanat d'art"
255;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire de l'Institut Mines-Télécom de Brest";IMT;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Économie, des Finances et de la Relance";http://www.onisep.fr/http/redirection/formation/slug/FOR.5595;"mécanique/automatismes| informatique, internet/bases de données| informatique, internet/développement - programmation -  logiciel| électricité - électronique - robotique/électronique| environnement - énergies - propreté/énergies| environnement - énergies - propreté/environnement (généralités)| informatique, internet/informatique (généralités)| santé - social - sport/santé (généralités)| informatique, internet/systèmes et réseaux| électricité - électronique - robotique/télécommunications"
311;;"formation d'école spécialisée";"flight dispatcher";;"1 an";34587;4;"niveau 4 (bac ou équivalent)";"Ministère chargé des transports";http://www.onisep.fr/http/redirection/formation/slug/FOR.2362;"logistique - transport/transport"
314;;"formation d'école spécialisée";"collaborateur comptable et financier";;"1 an";35062;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2084;"gestion des entreprises, comptabilité/administration de l'entreprise"
310;;"diplôme d'école de commerce visé (bac + 3)";"Diplôme d'études supérieures en affaires internationales (programme bachelor in international business)";;"3 ans";34879;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3399;"commerce, marketing, vente/commerce international"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur du CNAM spécialité génie nucléaire en convention avec le CESI en partenariat avec ITII Ile de France";EICnam;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.6073;"environnement - énergies - propreté/énergies| matières premières, fabrication, industries/génie industriel| armée, sécurité/sécurité prévention"
201;;"diplôme d'ingénieur";"diplôme d'ingénieur du CNAM spécialité génie électrique en partenariat avec l'ITII Ile de France";EICnam;"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6171;"électricité - électronique - robotique/électrotechnique| environnement - énergies - propreté/énergies| environnement - énergies - propreté/environnement (généralités)| mécanique/mécanique (généralités)"
